glucose_mM,V_-0.2,V_-0.1,V_-0.0,V_0.1,V_0.2,V_0.3,V_0.4,V_0.5,V_0.6,V_0.7,V_0.8
0.5,-22.86434,-2.64645,0.21458,3.0756,17.61913,93.24599,349.97607,694.68311,887.51648,1275.90186,2441.9165
1.0,-8.13007,-0.16689,1.21593,3.0756,15.9502,95.29639,386.35873,904.25348,1277.09387,1486.474,2391.18091
1.5,-8.13007,-0.16689,1.21593,3.0756,15.9502,95.29639,386.35873,904.25348,1277.09387,1486.474,2391.18091
2.0,-5.79357,0.16689,1.12057,2.93255,15.33031,88.8114,372.29205,954.51257,1512.22327,1826.60291,2233.91919
2.5,-10.89573,-0.59605,1.16825,3.40939,20.24174,116.94479,447.68048,1047.59119,1556.09229,1789.31421,2181.1333
3.0,-6.93798,-0.02384,1.21593,3.26633,18.33439,103.83177,406.76736,1003.29303,1598.91272,1966.74634,2207.35938
3.5,-6.8903,0.02384,1.21593,3.17097,18.38207,106.12059,424.60107,1061.9917,1685.07715,2049.85913,2275.83301
4.0,-6.46114,0.07153,1.16825,3.17097,18.28671,104.45166,417.44852,1060.56116,1755.41113,2239.45044,2446.54175
4.5,-6.98566,-0.02384,1.16825,3.3617,19.43111,106.74048,404.33551,996.37891,1660.61548,2165.39771,2425.7041
5.0,-6.65188,0.02384,1.16825,3.31402,19.04964,104.59471,397.99356,999.00153,1694.61438,2238.49683,2541.95679
