glucose_mM,V_0.100,V_0.150,V_0.200,V_0.250,V_0.300,V_0.350,V_0.400,V_0.450,V_0.500,V_0.550,V_0.600,V_0.650,V_0.700,V_0.750,V_0.800
0.5,3.0756,6.74725,17.61913,42.36698,93.24599,191.09344,349.97607,541.95117,694.68311,807.07361,887.51648,982.02612,1275.90186,1814.58667,2441.9165
1.0,3.0756,6.31809,15.9502,40.69805,95.29639,203.39584,386.35873,640.41852,904.25348,1123.74255,1277.09387,1362.44824,1486.474,1851.1123,2391.18091
1.5,3.0756,6.31809,15.9502,40.69805,95.29639,203.39584,386.35873,640.41852,904.25348,1123.74255,1277.09387,1362.44824,1486.474,1851.1123,2391.18091
2.0,2.93255,6.22272,15.33031,38.2185,88.8114,191.04576,372.29205,639.41718,954.51257,1257.16211,1512.22327,1709.20557,1826.60291,1943.71509,2233.91919
2.5,3.40939,7.60555,20.24174,51.66531,116.94479,241.39977,447.68048,731.63794,1047.59119,1333.40881,1556.09229,1711.63745,1789.31421,1892.93188,2181.1333
3.0,3.26633,7.12872,18.33439,45.80021,103.83177,215.69824,406.76736,680.71124,1003.29303,1324.01514,1598.91272,1818.9259,1966.74634,2057.01172,2207.35938
3.5,3.17097,7.03335,18.38207,46.4201,106.12059,222.61238,424.60107,717.47589,1061.9917,1401.64429,1685.07715,1910.33655,2049.85913,2118.76196,2275.83301
4.0,3.17097,7.08103,18.28671,45.89558,104.45166,218.4639,417.44852,708.84515,1060.56116,1425.43835,1755.41113,2028.4967,2239.45044,2363.38037,2446.54175
4.5,3.3617,7.55787,19.43111,48.04134,106.74048,217.2718,404.33551,673.08185,996.37891,1338.46326,1660.61548,1939.32825,2165.39771,2331.76611,2425.7041
5.0,3.31402,7.41482,19.04964,47.13535,104.59471,212.78954,397.99356,668.79034,999.00153,1353.24524,1694.61438,1993.35388,2238.49683,2426.65771,2541.95679
