glucose_mM,I_0.200V,I_0.210V,I_0.220V,I_0.230V,I_0.240V,I_0.250V,I_0.260V,I_0.270V,I_0.280V,I_0.290V,I_0.300V,I_0.310V,I_0.320V,I_0.330V,I_0.340V,I_0.350V,I_0.360V,I_0.370V,I_0.380V,I_0.390V,I_0.400V,I_0.410V,I_0.420V,I_0.430V,I_0.440V,I_0.450V,I_0.460V,I_0.470V,I_0.480V,I_0.490V,I_0.500V,I_0.510V,I_0.520V,I_0.530V,I_0.540V,I_0.550V,I_0.560V,I_0.570V,I_0.580V,I_0.590V,I_0.600V,I_0.610V,I_0.620V,I_0.630V,I_0.640V,I_0.650V,I_0.660V,I_0.670V,I_0.680V,I_0.690V,I_0.700V,I_0.710V,I_0.720V,I_0.730V,I_0.740V,I_0.750V,I_0.760V,I_0.770V,I_0.780V,I_0.790V,I_0.800V,dIdV_0.200V,dIdV_0.210V,dIdV_0.220V,dIdV_0.230V,dIdV_0.240V,dIdV_0.250V,dIdV_0.260V,dIdV_0.270V,dIdV_0.280V,dIdV_0.290V,dIdV_0.300V,dIdV_0.310V,dIdV_0.320V,dIdV_0.330V,dIdV_0.340V,dIdV_0.350V,dIdV_0.360V,dIdV_0.370V,dIdV_0.380V,dIdV_0.390V,dIdV_0.400V,dIdV_0.410V,dIdV_0.420V,dIdV_0.430V,dIdV_0.440V,dIdV_0.450V,dIdV_0.460V,dIdV_0.470V,dIdV_0.480V,dIdV_0.490V,dIdV_0.500V,dIdV_0.510V,dIdV_0.520V,dIdV_0.530V,dIdV_0.540V,dIdV_0.550V,dIdV_0.560V,dIdV_0.570V,dIdV_0.580V,dIdV_0.590V,dIdV_0.600V,dIdV_0.610V,dIdV_0.620V,dIdV_0.630V,dIdV_0.640V,dIdV_0.650V,dIdV_0.660V,dIdV_0.670V,dIdV_0.680V,dIdV_0.690V,dIdV_0.700V,dIdV_0.710V,dIdV_0.720V,dIdV_0.730V,dIdV_0.740V,dIdV_0.750V,dIdV_0.760V,dIdV_0.770V,dIdV_0.780V,dIdV_0.790V,dIdV_0.800V
0.5,17.61913,21.2431,25.34389,30.25532,35.882,42.36698,49.90101,58.53176,68.59351,80.0376,93.24599,108.45709,125.57555,145.0305,166.77428,191.09344,217.74864,247.36023,279.06989,313.21191,349.97607,388.17072,426.98526,466.46786,504.80557,541.95117,576.23627,609.09033,640.13245,667.88434,694.68311,720.86145,743.98804,766.44708,786.76031,807.07361,824.38324,842.07391,857.85724,871.87622,887.51648,900.96332,915.12537,932.67297,954.08344,982.02612,1016.3584,1062.65979,1121.83521,1192.40759,1275.90186,1369.3147,1470.69067,1580.45911,1695.04358,1814.58667,1938.13611,2062.63818,2187.42749,2313.69409,2441.9165,362.39699999999965,386.2379999999997,452.7621479142381,528.7502442997798,605.5829999999992,700.9504999999997,808.2389999999996,934.6250000000027,1075.2920000000013,1232.6239999999998,1420.9744999999984,1616.4779999999982,1828.6704999999984,2059.9365000000053,2303.1470000000027,2548.717999999997,2825.9212623072963,3077.629310500064,3292.583999999997,3545.3089999999956,3747.940499999999,3850.459499999997,3914.8570000000072,3891.015500000005,3774.165500000003,3571.534999999996,3356.9579999999914,3194.808999999994,2939.7005000000063,2727.5330000000104,2659.329090620544,2476.4574761627155,2279.2815000000046,2138.6134999999995,2031.3264999999956,1881.1465000000026,1750.0149999999994,1673.699999999997,1490.1154999999999,1482.9619999999995,1454.3550000000105,1380.4444999999978,1585.4824999999983,1947.9035000000003,2478.688124095468,3124.377412938724,4033.1033144895555,5273.840499999998,6483.581886150852,7700.132053567126,8850.28124443956,9743.918978306487,10551.53059414195,11212.285641618204,11706.377999999982,12160.913457884628,12402.505042080607,12458.36040068428,12604.210569892442,12775.176192382394,12822.240999999975
1.0,15.9502,19.28806,23.2935,28.20492,33.97465,40.69805,48.51818,57.81651,68.54582,80.8959,95.29639,111.89032,130.53465,151.99232,176.21565,203.39584,233.24585,266.76752,303.43628,343.10962,386.35873,432.4212,480.96371,532.08063,585.58228,640.41852,694.63538,749.04248,802.44824,854.56708,904.25348,952.84369,998.04785,1042.25061,1084.45117,1123.74255,1159.88684,1193.88574,1224.45105,1252.01221,1277.09387,1298.36084,1316.29041,1332.55054,1347.85706,1362.44824,1377.23022,1393.96716,1416.28308,1445.9906,1486.474,1537.73401,1598.62659,1670.19983,1756.8894,1851.1123,1951.82129,2055.15186,2164.25317,2274.73633,2391.18091,333.7859999999998,367.16499999999974,448.0132884440991,535.8735133436974,624.6564999999994,727.1764999999994,855.9229999999993,1001.3820000000028,1153.9695000000015,1337.5284999999985,1549.7209999999986,1761.9129999999986,2005.0999999999985,2284.0500000000065,2570.176000000002,2851.5099999999966,3182.8923678909196,3522.4606409832904,3817.1049999999977,4146.122499999994,4465.578999999998,4730.248999999996,4982.971500000014,5230.928500000002,5416.894499999991,5452.654999999999,5431.197999999997,5390.642999999996,5276.230000000025,5090.262000000002,4933.281894189669,4710.069942382441,4470.345999999998,4320.165999999997,4074.5969999999943,3771.7834999999905,3507.1594999999943,3228.2104999999938,2906.323500000006,2632.1410000000033,2317.4315000000133,1959.827000000012,1709.4849999999933,1578.332500000004,1499.9203526279452,1474.5252795655979,1576.6373104940867,1952.6429999999964,2599.504151816218,3508.332111836193,4590.006899515836,5609.955414773474,6619.450816678567,7909.944919127316,9045.623499999987,9751.799744862452,10201.736245714288,10616.579408662801,11024.229555512371,11389.918503303503,11644.457999999975
1.5,15.9502,19.28806,23.2935,28.20492,33.97465,40.69805,48.51818,57.81651,68.54582,80.8959,95.29639,111.89032,130.53465,151.99232,176.21565,203.39584,233.24585,266.76752,303.43628,343.10962,386.35873,432.4212,480.96371,532.08063,585.58228,640.41852,694.63538,749.04248,802.44824,854.56708,904.25348,952.84369,998.04785,1042.25061,1084.45117,1123.74255,1159.88684,1193.88574,1224.45105,1252.01221,1277.09387,1298.36084,1316.29041,1332.55054,1347.85706,1362.44824,1377.23022,1393.96716,1416.28308,1445.9906,1486.474,1537.73401,1598.62659,1670.19983,1756.8894,1851.1123,1951.82129,2055.15186,2164.25317,2274.73633,2391.18091,333.7859999999998,367.16499999999974,448.0132884440991,535.8735133436974,624.6564999999994,727.1764999999994,855.9229999999993,1001.3820000000028,1153.9695000000015,1337.5284999999985,1549.7209999999986,1761.9129999999986,2005.0999999999985,2284.0500000000065,2570.176000000002,2851.5099999999966,3182.8923678909196,3522.4606409832904,3817.1049999999977,4146.122499999994,4465.578999999998,4730.248999999996,4982.971500000014,5230.928500000002,5416.894499999991,5452.654999999999,5431.197999999997,5390.642999999996,5276.230000000025,5090.262000000002,4933.281894189669,4710.069942382441,4470.345999999998,4320.165999999997,4074.5969999999943,3771.7834999999905,3507.1594999999943,3228.2104999999938,2906.323500000006,2632.1410000000033,2317.4315000000133,1959.827000000012,1709.4849999999933,1578.332500000004,1499.9203526279452,1474.5252795655979,1576.6373104940867,1952.6429999999964,2599.504151816218,3508.332111836193,4590.006899515836,5609.955414773474,6619.450816678567,7909.944919127316,9045.623499999987,9751.799744862452,10201.736245714288,10616.579408662801,11024.229555512371,11389.918503303503,11644.457999999975
2.0,15.33031,18.42976,22.14909,26.67904,31.97193,38.2185,45.46642,54.04949,64.01587,75.41228,88.8114,104.21324,121.85622,141.97874,165.00998,191.04576,220.08514,252.79617,288.94043,328.70914,372.29205,419.49893,469.61499,523.35455,580.09863,639.41718,700.16669,762.77539,826.57672,890.52057,954.51257,1018.07501,1079.7782,1140.86108,1200.46619,1257.16211,1311.18774,1364.59399,1416.47388,1464.82568,1512.22327,1557.80884,1600.10486,1639.72998,1676.25574,1709.20557,1737.62512,1764.5188,1787.40698,1807.67249,1826.60291,1846.86853,1865.94202,1887.16223,1912.0531,1943.71509,1983.72168,2035.8877,2096.49365,2160.86768,2233.91919,309.9449999999998,340.93899999999974,414.4607035561603,492.82272765254584,576.9729999999995,674.7244999999994,791.5494999999992,927.4725000000026,1068.1395000000011,1239.7764999999986,1440.0479999999993,1652.2409999999982,1888.2749999999978,2157.6880000000074,2453.3510000000033,2753.757999999996,3101.5006821803345,3455.317999449411,3795.6484999999957,4167.580999999998,4539.489499999996,4866.146999999994,5192.781000000014,5524.182000000004,5803.131499999996,6003.402999999995,6167.910499999991,6320.5014999999985,6387.25900000002,6396.792500000003,6403.36869089261,6289.387791294219,6139.303499999987,6034.3994999999995,5815.051500000001,5536.077499999992,5371.593999999997,5264.307000000001,5011.584499999983,4787.469499999992,4649.158000000025,4394.079500000022,4096.057000000015,3807.544000000009,3484.8060418029054,3082.2181044382887,2767.1227772885177,2489.093000000008,2156.738276624921,1958.7513820722088,1960.8501993950194,1968.0001208557223,2013.5719379815419,2304.5862998006487,2827.6429999999964,3585.641052858293,4607.423773054295,5636.204999695445,6275.817158796461,6895.596050362743,7305.151000000017
2.5,20.24174,24.67632,29.82616,35.97736,43.1776,51.66531,61.20205,72.4082,85.33049,99.96939,116.94479,136.20901,157.95279,182.60527,210.35767,241.39977,275.39825,313.25961,354.79211,399.3764,447.68048,499.08353,553.2522,610.61621,670.12549,731.63794,793.67444,857.3327,921.27655,984.60101,1047.59119,1109.38977,1167.99304,1225.9292,1281.1947,1333.40881,1382.33228,1429.63452,1474.26697,1515.99023,1556.09229,1592.95227,1626.99841,1658.6604,1686.79382,1711.63745,1731.33081,1748.97388,1764.28027,1777.3457,1789.31421,1801.99817,1816.68469,1835.51978,1860.45837,1892.93188,1931.8418,1982.52966,2041.41907,2107.46094,2181.1333,443.45799999999963,479.22099999999966,567.7433600207282,669.8516331130977,784.3974999999994,901.222499999999,1037.144499999999,1206.4220000000037,1378.0595000000021,1580.7149999999992,1811.9809999999989,2050.399999999998,2319.8129999999974,2620.244000000009,2939.725000000002,3252.0289999999986,3609.095668091726,3984.2838126700335,4305.839499999995,4644.418499999996,4985.356499999998,5278.585999999999,5576.63400000002,5843.664500000006,6051.086499999994,6177.447499999995,6284.737999999998,6380.105499999998,6363.415500000017,6315.732000000011,6264.217580580393,6045.752986202875,5826.971499999992,5660.082999999991,5373.980499999991,5056.879000000001,4811.285499999998,4596.734499999991,4317.785499999998,4091.2660000000033,3848.1020000000135,3545.3060000000114,3285.4064999999973,2989.7705000000133,2657.0620867689577,2237.3907695550733,1867.8589296184364,1647.4730000000127,1417.9947032672644,1251.0172979698982,1233.2765456056513,1369.1090613635024,1675.0364940666477,2187.896167729821,2870.604999999996,3571.2809083976463,4478.720164609171,5476.537840440913,6274.736970170998,7010.916006315572,7367.235999999996
3.0,18.33439,22.1014,26.63136,32.11498,38.40923,45.80021,54.28791,64.25429,75.74606,88.76372,103.83177,121.04559,140.40518,162.57811,187.61253,215.69824,246.74034,281.50177,319.64923,361.3248,406.76736,455.69135,507.52353,562.64636,620.34369,680.71124,742.50983,806.69214,872.11469,937.25061,1003.29303,1069.71692,1134.3761,1199.17871,1262.74109,1324.01514,1382.71375,1440.03015,1494.91406,1547.98608,1598.91272,1646.69177,1692.65942,1737.10059,1779.10999,1818.9259,1854.87939,1887.7821,1918.44275,1944.00122,1966.74634,1987.72717,2006.41919,2023.72839,2040.32227,2057.01172,2075.75122,2100.07007,2128.77661,2163.68115,2207.35938,376.7009999999999,414.8484999999997,503.09051515740407,590.9507400570023,684.2614999999994,793.9339999999991,922.7039999999993,1072.9075000000034,1225.471500000002,1404.2854999999995,1614.0934999999981,1828.6704999999974,2076.6259999999984,2360.367500000005,2656.006500000003,2956.3904999999977,3304.9963510493617,3658.837571932894,3991.1514999999945,4355.906499999997,4718.327499999996,5037.808499999996,5347.750500000013,5641.008000000009,5903.243999999995,6108.306999999993,6299.044999999998,6480.242999999995,6527.923500000019,6558.917000000016,6650.283492583236,6581.399251619376,6473.08949999998,6418.249499999998,6241.821499999998,5998.632999999994,5800.750499999995,5610.015499999994,5397.796499999997,5199.9330000000045,4935.284500000023,4687.335000000006,4520.441000000006,4322.528499999986,4104.963386990421,3804.92181926404,3444.686681814841,3178.1679999999906,2809.8074819059257,2413.833192550577,2187.303987585372,1984.750365774482,1799.2313899004512,1694.2719626140752,1664.166499999992,1772.4371589924413,2152.3638702813914,2650.165016719402,3195.9295133436826,3941.5076498898707,4367.822999999995
3.5,18.38207,22.19677,26.82209,32.3534,38.83839,46.4201,55.09853,65.35101,77.12889,90.52802,106.12059,123.9543,144.02914,167.06038,193.23921,222.61238,255.18036,291.80145,332.3331,376.39285,424.60107,476.62448,531.74689,590.82745,652.67322,717.47589,783.56555,851.89679,921.32428,991.1814,1061.9917,1133.04089,1201.6106,1270.08435,1336.93738,1401.64429,1462.82288,1522.52295,1578.55176,1632.57739,1685.07715,1735.38403,1782.82935,1828.65332,1870.80579,1910.33655,1945.90857,1977.71362,2006.37146,2030.40405,2049.85913,2065.92847,2078.85083,2091.72534,2104.83838,2118.76196,2136.26294,2160.2002,2190.0979,2227.10034,2275.83301,381.46999999999986,422.00099999999964,510.252749935225,602.8628222243813,703.3349999999991,813.0069999999992,946.5454999999993,1101.5180000000032,1258.8505000000014,1449.5849999999996,1671.3139999999985,1895.4274999999989,2155.3039999999983,2460.503500000007,2777.600000000002,3097.057499999997,3475.093249546575,3871.6776190244855,4229.569999999996,4613.398499999996,5011.581499999997,5357.290999999997,5710.1485000000175,6046.316500000008,6332.421999999999,6544.616499999993,6721.044999999991,6887.936499999996,6964.230500000027,7033.3710000000065,7121.786392505499,7010.206810176183,6852.172999999995,6766.339,6577.996999999996,6294.27499999998,6043.93299999999,5786.444000000003,5502.721999999994,5326.269499999995,5140.332000000024,4887.610000000001,4663.464499999987,4398.821999999986,4097.683326235492,3771.4854814320133,3370.728993378041,3023.144499999995,2633.437244306944,2173.069290283922,1776.9409877651342,1450.4683874649927,1289.201934615121,1298.7406992328033,1351.830999999991,1572.1938428463618,2071.272515184537,2690.701866733958,3361.41391436712,4299.380291877154,4873.2669999999825
4.0,18.28671,22.1014,26.67904,32.11498,38.5046,45.89558,54.47865,64.49271,76.07985,89.24055,104.45166,121.9039,141.64496,164.15167,189.71062,218.4639,250.45967,286.46088,326.32495,369.8125,417.44852,468.94742,523.68829,582.53052,644.18555,708.84515,775.45929,844.8396,916.03137,987.6051,1060.56116,1134.3761,1207.2373,1280.81323,1354.15125,1425.43835,1495.05713,1563.48376,1629.81177,1693.94678,1755.41113,1814.96814,1870.85339,1925.59534,1977.99963,2028.4967,2075.98975,2121.24146,2164.11011,2203.16309,2239.45044,2271.11255,2299.34131,2324.66113,2344.87915,2363.38037,2378.40186,2393.61279,2409.53931,2425.94238,2446.54175,381.4689999999999,419.61649999999963,503.0520635445007,593.2872121388784,689.0299999999995,798.7024999999992,929.8564999999994,1080.0600000000027,1237.3920000000016,1418.5904999999998,1633.1674999999977,1859.6649999999981,2112.388499999999,2403.2830000000067,2715.6115000000027,3037.4524999999976,3415.2282218227756,3807.063241903099,4167.580999999998,4556.1784999999945,4956.745999999996,5311.9884999999995,5679.155000000013,6024.8630000000085,6315.731499999994,6563.686999999991,6799.722499999996,7028.603999999999,7138.275000000016,7226.489499999996,7368.606089065943,7363.882137258726,7321.856499999994,7345.697499999995,7231.255999999994,7045.293999999994,6902.270499999999,6737.731999999989,6523.150999999998,6279.9679999999935,6051.068000000043,5772.113000000012,5531.360000000001,5357.312000000005,5162.594142449714,4920.180457037684,4639.672280169587,4406.017999999996,4094.2271206379955,3764.9976703631255,3398.942794087241,2996.214859619984,2676.237592929814,2275.5004245140153,1935.961999999985,1676.8006656591606,1511.605079226094,1556.130973799809,1623.2158967158903,1855.9200734226906,2059.936999999989
4.5,19.43111,23.43655,28.20492,33.87928,40.41195,48.04134,56.71978,66.92458,78.5594,91.62474,106.74048,124.00198,143.17084,165.05766,189.71062,217.2718,247.69402,281.6925,319.22006,359.84659,404.33551,452.06738,502.75516,556.87616,613.6203,673.08185,734.06982,797.7276,862.67328,928.71521,996.37891,1065.66382,1133.5177,1202.5166,1270.51355,1338.46326,1404.93445,1471.1676,1536.20813,1598.48352,1660.61548,1720.79272,1778.25171,1834.28003,1888.44971,1939.32825,1987.3457,2034.64795,2080.94873,2123.53027,2165.39771,2204.21216,2240.11792,2273.49658,2304.87256,2331.76611,2356.18018,2376.78052,2394.80493,2411.06519,2425.7041,400.54399999999964,438.6904999999998,524.6156630392541,612.47638593082,708.1029999999992,815.3914999999997,944.1619999999998,1091.9810000000025,1235.0080000000012,1409.0539999999992,1618.8619999999983,1821.5179999999982,2052.783999999998,2326.989000000007,2610.707000000004,2899.1699999999983,3235.517245498122,3589.357470397721,3907.704499999998,4255.7724999999955,4611.039499999995,4920.982499999998,5240.439000000013,5543.257000000012,5810.284499999991,6022.475999999995,6232.2874999999985,6430.172999999988,6549.380500000014,6685.281500000012,6875.8057065358225,6885.2765177808105,6842.638999999988,6849.792499999981,6797.332999999999,6721.0450000000055,6635.21699999999,6563.683999999994,6365.796000000002,6220.367499999993,6115.460000000021,5881.811500000025,5674.365499999985,5509.899999999994,5269.829033759161,4965.613459303408,4768.407366959233,4680.151499999993,4442.083047426349,4220.305269315402,4035.9617740521935,3738.026890610461,3462.617713409025,3236.0155255029385,2913.4765000000043,2566.5415186847968,2251.106374826879,1930.1446601579228,1720.4621410156833,1551.866960292784,1463.891000000011
5.0,19.04964,23.05508,27.6804,33.25939,39.64901,47.13535,55.62305,65.6848,76.98584,89.86044,104.59471,121.37938,140.16676,161.62444,185.7524,212.78954,242.54417,276.68573,313.54572,353.79077,397.99356,445.8208,496.60397,550.96338,608.32739,668.79034,730.92273,795.53412,862.10107,929.71661,999.00153,1069.57385,1139.47815,1210.67041,1282.14832,1353.24524,1423.0542,1493.10205,1561.43286,1627.71362,1694.61438,1758.79663,1820.02258,1879.58044,1937.4209,1993.35388,2045.85364,2096.5415,2145.60889,2192.625,2238.49683,2281.50757,2321.56177,2358.65967,2393.94653,2426.65771,2455.17261,2481.30322,2503.90527,2523.45557,2541.95679,400.54399999999964,431.53799999999967,512.6656272509397,600.5263501425054,693.7979999999993,798.7019999999993,927.472499999999,1068.139500000003,1208.782000000002,1380.4434999999994,1575.9469999999983,1778.6024999999981,2012.2529999999979,2279.2820000000056,2558.255000000003,2839.588499999998,3209.5124558880707,3563.353676771605,3855.2519999999968,4222.391999999994,4601.5014999999985,4930.520499999999,5257.129000000015,5586.171000000006,5891.3479999999945,6129.766999999996,6337.1889999999985,6558.916999999994,6709.124500000013,6845.023000000001,7021.691378157797,7052.536004663816,7054.827999999994,7133.508499999996,7128.741499999996,7045.294000000002,6992.840499999991,6918.932999999975,6730.578499999989,6659.076000000001,6554.1505000000325,6270.410000000018,6039.190499999997,5869.915999999997,5708.120806636929,5444.547678288349,5162.055250240694,4987.762499999997,4801.878972970575,4642.021123895087,4446.210703541496,4155.474717048201,3855.826754664595,3617.3406307265977,3399.9019999999873,3062.626926635494,2732.519393794908,2435.2402570967242,2114.9195436585287,1910.701503497854,1850.1220000000087
