glucose_mM,I_0.200V,I_0.300V,I_0.400V,I_0.500V,I_0.600V,I_0.700V,I_0.800V,dIdV_0.200V,dIdV_0.300V,dIdV_0.400V,dIdV_0.500V,dIdV_0.600V,dIdV_0.700V,dIdV_0.800V
0.5,17.61913,93.24599,349.97607,694.68311,887.51648,1275.90186,2441.9165,756.8740992794236,1663.1151921537225,3008.03772944579,2688.1704410572556,2908.1770479459597,7778.222912563598,11669.481985588469
1.0,15.9502,95.29639,386.35873,904.25348,1277.09387,1486.474,2391.18091,794.0971777421937,1853.5254703763007,4045.4972514057663,4454.878628055705,2913.369433126024,5574.964375509756,9054.312550040033
1.5,15.9502,95.29639,386.35873,904.25348,1277.09387,1486.474,2391.18091,794.0971777421937,1853.5254703763007,4045.4972514057663,4454.878628055705,2913.369433126024,5574.964375509756,9054.312550040033
2.0,15.33031,88.8114,372.29205,954.51257,1512.22327,1826.60291,2233.91919,735.3992193755005,1786.2376901521216,4329.043415750672,5701.840583056344,4363.846363455528,3611.2345471773915,4076.4239391513206
2.5,20.24174,116.94479,447.68048,1047.59119,1556.09229,1789.31421,2181.1333,967.8047437950358,2138.9048238590867,4654.0179663080935,5543.912605108368,3711.5365138538264,3127.630146363039,3921.327962369895
3.0,18.33439,103.83177,406.76736,1003.29303,1598.91272,1966.74634,2207.35938,855.658326661329,1943.7198258606884,4497.932082683098,5963.110327720103,4820.996299866573,3044.4529969480354,2408.0568454763807
3.5,18.38207,106.12059,424.60107,1061.9917,1685.07715,2049.85913,2275.83301,878.0876701361088,2032.7211769415528,4779.992926524109,6304.847113595253,4943.173803758414,2955.9268037516085,2261.5480384307443
4.0,18.28671,104.45166,417.44852,1060.56116,1755.41113,2239.45044,2446.54175,862.3393714971977,1997.406975580464,4781.140495470054,6692.699304341879,5898.976146069637,3458.1081204607635,2072.571156925538
4.5,19.43111,106.74048,404.33551,996.37891,1660.61548,2165.39771,2425.7041,873.7927341873498,1926.062850280224,4448.794827517557,6284.204431711514,5849.560987020079,3828.191933438462,2605.148018414729
5.0,19.04964,104.59471,397.99356,999.00153,1694.61438,2238.49683,2541.95679,856.1356084867895,1896.236589271417,4472.593640604265,6486.079178934886,6202.204106255403,4239.771598442801,3037.029223378704
