glucose_mM,I_0.400V,I_0.480V,I_0.560V,I_0.640V,I_0.720V,dIdV_0.400V,dIdV_0.480V,dIdV_0.560V,dIdV_0.640V,dIdV_0.720V
0.5,349.97607,640.13245,824.38324,954.08344,1470.69067,3626.954749999999,2965.8669887770457,1963.5175401777474,4043.8647708501394,6464.05442942943
1.0,386.35873,802.44824,1159.88684,1347.85706,1598.62659,5201.118875,4836.60465786891,3411.572324764861,2743.889446789336,3137.7568818818827
1.5,386.35873,802.44824,1159.88684,1347.85706,1598.62659,5201.118875,4836.60465786891,3411.572324764861,2743.889446789336,3137.7568818818827
2.0,372.29205,826.57672,1311.18774,1676.25574,1865.94202,5678.558374999999,5871.226247161807,5313.901001226341,3467.8532275897705,2373.451951951951
2.5,447.68048,921.27655,1382.33228,1686.79382,1816.68469,5919.9508749999995,5844.420467591592,4787.858464902749,2714.9697933397383,1625.2611361361357
3.0,406.76736,872.11469,1382.71375,1779.10999,2006.41919,5816.841624999999,6103.002456479303,5672.2737239255275,3899.0531546819475,2844.209209209211
3.5,424.60107,921.32428,1462.82288,1870.80579,2078.85083,6209.0401249999995,6492.415754318663,5938.066331482246,3850.8518032972315,2603.166166166166
4.0,417.44852,916.03137,1495.05713,1977.99963,2299.34131,6232.2856249999995,6738.92966805506,6641.226381099084,5028.282271406599,4020.7917917917894
4.5,404.33551,862.67328,1404.93445,1888.44971,2240.11792,5729.222124999998,6257.399988769221,6414.680582253467,5221.685686407145,4400.252877877879
5.0,397.99356,862.10107,1423.0542,1937.4209,2321.56177,5801.343875,6410.443016099579,6724.405815061562,5617.669639165802,4806.56744244244
