glucose_mM,I_0.400V,I_0.420V,I_0.440V,I_0.460V,I_0.480V,I_0.500V,I_0.520V,I_0.540V,I_0.560V,I_0.580V,I_0.600V,I_0.620V,I_0.640V,I_0.660V,I_0.680V,I_0.700V,I_0.720V,I_0.740V,I_0.760V,I_0.780V,I_0.800V,dIdV_0.400V,dIdV_0.420V,dIdV_0.440V,dIdV_0.460V,dIdV_0.480V,dIdV_0.500V,dIdV_0.520V,dIdV_0.540V,dIdV_0.560V,dIdV_0.580V,dIdV_0.600V,dIdV_0.620V,dIdV_0.640V,dIdV_0.660V,dIdV_0.680V,dIdV_0.700V,dIdV_0.720V,dIdV_0.740V,dIdV_0.760V,dIdV_0.780V,dIdV_0.800V
0.5,349.97607,426.98526,504.80557,576.23627,640.13245,694.68311,743.98804,786.76031,824.38324,857.85724,887.51648,915.12537,954.08344,1016.3584,1121.83521,1275.90186,1470.69067,1695.04358,1938.13611,2187.42749,2441.9165,3850.459499999996,3870.737500000001,3731.2752500000042,3383.171999999995,2961.171000000002,2601.087152481672,2307.2175021810654,2009.880000000001,1777.4232499999998,1578.3309999999983,1431.7032500000023,1664.173999999999,2538.2589669580047,4197.894864753602,6486.358499810398,8722.408914948865,10477.809136588025,11686.610333686578,12309.448933511696,12617.303760562681,12775.55271084333
1.0,386.35873,480.96371,585.58228,694.63538,802.44824,904.25348,998.04785,1084.45117,1159.88684,1224.45105,1277.09387,1316.29041,1347.85706,1377.23022,1416.28308,1486.474,1598.62659,1756.8894,1951.82129,2164.25317,2391.18091,4730.248999999996,4980.588750000001,5341.791750000002,5421.648999999998,5240.452499999999,4899.024881184057,4514.74852046261,4045.974749999994,3499.996999999992,2930.1757499999985,2295.9840000000113,1769.0797500000044,1526.3403782062087,1713.1205675849706,2730.023206922284,4559.6390713067085,6759.235624405148,8830.788642164036,10183.661842189045,11004.994495532133,11391.954819277085
1.5,386.35873,480.96371,585.58228,694.63538,802.44824,904.25348,998.04785,1084.45117,1159.88684,1224.45105,1277.09387,1316.29041,1347.85706,1377.23022,1416.28308,1486.474,1598.62659,1756.8894,1951.82129,2164.25317,2391.18091,4730.248999999996,4980.588750000001,5341.791750000002,5421.648999999998,5240.452499999999,4899.024881184057,4514.74852046261,4045.974749999994,3499.996999999992,2930.1757499999985,2295.9840000000113,1769.0797500000044,1526.3403782062087,1713.1205675849706,2730.023206922284,4559.6390713067085,6759.235624405148,8830.788642164036,10183.661842189045,11004.994495532133,11391.954819277085
2.0,372.29205,469.61499,580.09863,700.16669,826.57672,954.51257,1079.7782,1200.46619,1311.18774,1416.47388,1512.22327,1600.10486,1676.25574,1737.62512,1787.40698,1826.60291,1865.94202,1912.0531,1983.72168,2096.49365,2233.91919,4866.146999999994,5195.164500000003,5763.792500000005,6161.952249999997,6358.646999999997,6342.5052960740795,6161.671915312552,5785.238499999996,5400.192249999996,5025.888249999996,4590.774500000007,4100.811750000008,3443.43987608952,2785.535469275892,2224.021313648729,1963.3805611891366,2136.0865188353127,2945.131909905853,4609.988470500568,6268.750019264306,6898.872489959832
2.5,447.68048,553.2522,670.12549,793.67444,921.27655,1047.59119,1167.99304,1281.1947,1382.33228,1474.26697,1556.09229,1626.99841,1686.79382,1731.33081,1764.28027,1789.31421,1816.68469,1860.45837,1931.8418,2041.41907,2181.1333,5278.585999999997,5561.125250000003,6010.5560000000005,6278.776499999996,6347.918750000008,6179.728782722079,5852.5612456479175,5358.480999999996,4826.806749999996,4344.000249999997,3818.2860000000146,3267.538249999998,2612.026096534428,1942.222334009377,1449.3217699414454,1310.1695685700179,1778.1948091996965,2879.619433386797,4523.064915770614,6246.678880581225,7013.766566265045
3.0,406.76736,507.52353,620.34369,742.50983,872.11469,1003.29303,1134.3761,1262.74109,1382.71375,1494.91406,1598.91272,1692.65942,1779.10999,1854.87939,1918.44275,1966.74634,2006.41919,2040.32227,2075.75122,2128.77661,2207.35938,5037.808499999996,5339.408250000004,5874.657500000003,6294.274999999994,6519.580000000005,6569.717802408031,6499.525001806822,6208.441249999996,5804.324249999994,5404.974249999999,4943.6340000000055,4504.931750000003,4062.586735949808,3491.553139757416,2796.1657574322016,2199.196331151834,1839.5434139854115,1733.3397634101275,2210.9196945695585,3298.890749512786,3944.9181726907527
3.5,424.60107,531.74689,652.67322,783.56555,921.32428,1061.9917,1201.6106,1336.93738,1462.82288,1578.55176,1685.07715,1782.82935,1870.80579,1945.90857,2006.37146,2049.85913,2078.85083,2104.83838,2136.26294,2190.0979,2275.83301,5357.290999999996,5701.803750000005,6295.466500000002,6716.2764999999945,6960.653750000005,7021.151522893182,6887.903090027441,6530.30699999999,6040.359499999991,5556.356749999999,5106.939750000012,4643.216,4083.8910779148573,3397.4307622835986,2598.3268801920494,1811.622756651741,1374.5570410095825,1435.4393929355429,2130.9288056042133,3499.0055390138805,4303.97138554214
4.0,417.44852,523.68829,644.18555,775.45929,916.03137,1060.56116,1207.2373,1354.15125,1495.05713,1629.81177,1755.41113,1870.85339,1977.99963,2075.98975,2164.11011,2239.45044,2299.34131,2344.87915,2378.40186,2409.53931,2446.54175,5311.9884999999995,5668.425750000004,6294.2750000000015,6796.145499999995,7127.546750000001,7295.0118147097455,7354.496367815944,7195.495749999995,6891.512999999992,6508.849999999991,6026.04050000001,5564.7125000000015,5137.8083581781975,4663.114558579,4085.6560570024885,3380.3954537938553,2636.0778936989227,1976.2143599320261,1616.5644397671203,1707.1630653154425,1857.5522088353243
4.5,404.33551,502.75516,613.6203,734.06982,862.67328,996.37891,1133.5177,1270.51355,1404.93445,1536.20813,1660.61548,1778.25171,1888.44971,1987.3457,2080.94873,2165.39771,2240.11792,2304.87256,2356.18018,2394.80493,2425.7041,4920.9824999999955,5232.119750000005,5782.8665000000055,6226.3244999999915,6557.72725,6785.079049919124,6867.1697092377435,6785.418749999993,6642.3645,6392.025749999993,6051.089500000016,5695.855750000017,5236.732731728509,4822.6898930511525,4450.302627510486,3978.9885203045706,3487.1221327483363,2901.2217751945573,2248.6274459841807,1740.2905126719634,1551.163152610445
5.0,397.99356,496.60397,608.32739,730.92273,862.10107,999.00153,1139.47815,1282.14832,1423.0542,1561.43286,1694.61438,1820.02258,1937.4209,2045.85364,2145.60889,2238.49683,2321.56177,2393.94653,2455.17261,2503.90527,2541.95679,4930.520499999996,5258.345750000004,5857.969000000003,6344.341999999995,6701.970000000001,6948.738509331917,7092.692195704658,7089.401249999999,6982.113499999989,6789.004499999988,6464.743000000017,6070.163000000008,5656.235961207538,5216.043132550229,4814.962431026739,4398.57862435015,3886.5114476884846,3339.993703066175,2749.2822100626945,2172.224195886811,1910.216867469874
