V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.4,0.76,0.36,5,3,0.93163,0.37551,0.9256,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695), np.float64(0.7595)]"
0.4,0.74,0.34,2,2,0.93094,0.3774,0.92502,"[np.float64(0.3996), np.float64(0.7395)]"
0.4,0.76,0.36,6,3,0.93024,0.37932,0.92443,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
0.4,0.73,0.33,2,2,0.92888,0.383,0.92328,"[np.float64(0.3996), np.float64(0.7295)]"
0.4,0.75,0.35,4,3,0.92544,0.39215,0.9204,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296), np.float64(0.7495)]"
0.4,0.75,0.35,5,3,0.92477,0.3939,0.91985,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6595), np.float64(0.7495)]"
0.4,0.75,0.35,6,3,0.92329,0.39775,0.91862,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795), np.float64(0.7495)]"
0.45,0.74,0.29,2,2,0.923,0.3985,0.91838,"[np.float64(0.4496), np.float64(0.7395)]"
0.55,0.75,0.2,5,2,0.92149,0.40241,0.91712,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
0.55,0.75,0.2,6,2,0.92107,0.40346,0.91678,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095), np.float64(0.7495)]"
0.55,0.75,0.2,4,2,0.92091,0.40389,0.91664,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6795), np.float64(0.7495)]"
0.5,0.74,0.24,2,2,0.92077,0.40425,0.91653,"[np.float64(0.4996), np.float64(0.7395)]"
0.4,0.74,0.34,3,3,0.92076,0.40426,0.91652,"[np.float64(0.3996), np.float64(0.5696), np.float64(0.7395)]"
0.45,0.73,0.28,2,2,0.92059,0.40469,0.91638,"[np.float64(0.4496), np.float64(0.7295)]"
0.55,0.76,0.21,6,2,0.91953,0.40739,0.91551,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595)]"
0.5,0.75,0.25,6,2,0.9193,0.40798,0.91531,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
0.5,0.73,0.23,2,2,0.91927,0.40805,0.91529,"[np.float64(0.4996), np.float64(0.7295)]"
0.5,0.75,0.25,5,2,0.91891,0.40896,0.91499,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6895), np.float64(0.7495)]"
