mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
both,0.4,0.73,0.33,4,8,3,0.94338,0.34172,0.93566,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196), np.float64(0.7295)]"
both,0.4,0.74,0.34,3,6,3,0.94067,0.34982,0.93331,"[np.float64(0.3996), np.float64(0.5696), np.float64(0.7395)]"
both,0.4,0.75,0.35,3,6,3,0.93841,0.35641,0.93136,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7495)]"
both,0.4,0.73,0.33,3,6,3,0.93751,0.359,0.9306,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7295)]"
both,0.4,0.74,0.34,4,8,3,0.93726,0.35973,0.93038,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6296), np.float64(0.7395)]"
both,0.4,0.71,0.31,3,6,3,0.93586,0.36371,0.92919,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7095)]"
both,0.4,0.72,0.32,3,6,3,0.93513,0.36578,0.92857,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7195)]"
both,0.4,0.76,0.36,3,6,3,0.93476,0.36682,0.92825,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7595)]"
both,0.4,0.77,0.37,3,6,3,0.93379,0.36954,0.92742,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7695)]"
both,0.4,0.72,0.32,4,8,3,0.93335,0.37075,0.92706,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6096), np.float64(0.7195)]"
both,0.4,0.75,0.35,4,8,3,0.93279,0.37233,0.92658,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296), np.float64(0.7495)]"
I,0.4,0.76,0.36,5,5,3,0.93163,0.37551,0.9256,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695), np.float64(0.7595)]"
both,0.4,0.79,0.39,5,10,2,0.931,0.37724,0.92507,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
I,0.4,0.74,0.34,2,2,2,0.93094,0.3774,0.92502,"[np.float64(0.3996), np.float64(0.7395)]"
I,0.4,0.76,0.36,6,6,3,0.93024,0.37932,0.92443,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
both,0.4,0.79,0.39,3,6,2,0.93019,0.37944,0.92439,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7894)]"
both,0.4,0.71,0.31,4,8,3,0.92907,0.38248,0.92344,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.6096), np.float64(0.7095)]"
I,0.4,0.73,0.33,2,2,2,0.92888,0.383,0.92328,"[np.float64(0.3996), np.float64(0.7295)]"
both,0.4,0.7,0.3,3,6,3,0.92782,0.38583,0.9224,"[np.float64(0.3996), np.float64(0.5496), np.float64(0.6995)]"
both,0.4,0.8,0.4,3,6,2,0.92764,0.38632,0.92225,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7994)]"
both,0.4,0.78,0.38,5,10,2,0.92674,0.38872,0.92149,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7795)]"
